2025-06-17 18:26:00 | HQ | Worker without PPE | Severity=High | Action=Worker counseled
2025-03-25 12:15:00 | Station-02 | First aid administered | Severity=Low | Action=Safety team notified
2025-01-21 07:37:00 | Station-02 | Fire extinguisher expired | Severity=Medium | Action=Immediate corrective action
2025-02-02 10:46:00 | Station-05 | Fire extinguisher expired | Severity=High | Action=Training scheduled
2025-03-23 13:45:00 | Depot-A | First aid administered | Severity=Low | Action=Area cordoned off
2025-06-14 15:59:00 | Depot-A | Worker without PPE | Severity=Medium | Action=Reported to supervisor
2025-02-10 18:12:00 | Station-01 | Equipment malfunction | Severity=Low | Action=Reported to supervisor
2025-07-25 14:24:00 | HQ | Slip & fall accident | Severity=Medium | Action=Investigation launched
2025-06-18 18:50:00 | Depot-A | Equipment malfunction | Severity=Medium | Action=Safety team notified
2025-07-10 19:42:00 | HQ | Equipment malfunction | Severity=Low | Action=Safety team notified
2025-07-20 11:16:00 | Station-01 | Unauthorized access | Severity=Medium | Action=Investigation launched
2025-02-07 07:56:00 | Station-02 | Slip & fall accident | Severity=Medium | Action=Investigation launched
2025-02-21 11:26:00 | HQ | Fire extinguisher missing | Severity=High | Action=Reported to supervisor
2025-04-03 16:51:00 | Station-05 | Chemical handling violation | Severity=Low | Action=Training scheduled
2025-01-27 21:49:00 | Station-02 | Near miss – vehicle collision | Severity=Low | Action=Equipment replaced
2025-03-27 22:17:00 | Depot-A | Near miss – vehicle collision | Severity=Medium | Action=Equipment replaced
2025-07-17 07:29:00 | Depot-B | Chemical handling violation | Severity=High | Action=Worker counseled
2025-07-13 20:02:00 | Station-05 | Minor fuel spill | Severity=Medium | Action=Reported to supervisor
2025-05-31 08:30:00 | Depot-A | Unauthorized access | Severity=Medium | Action=Equipment replaced
2025-06-01 13:28:00 | Station-05 | Minor fuel spill | Severity=Low | Action=Reported to supervisor
2025-06-21 14:25:00 | Station-01 | Minor fuel spill | Severity=Low | Action=Equipment replaced
2025-02-26 20:15:00 | Station-01 | Unauthorized access | Severity=Low | Action=Area cordoned off
2025-01-20 14:34:00 | Depot-A | Near miss – vehicle collision | Severity=High | Action=Reported to supervisor
2025-07-07 15:49:00 | Refinery-1 | Chemical handling violation | Severity=Medium | Action=Reported to supervisor
2025-05-29 12:34:00 | Station-05 | Near miss – vehicle collision | Severity=Low | Action=Immediate corrective action
2025-04-10 16:11:00 | Refinery-1 | Near miss – vehicle collision | Severity=Low | Action=Equipment replaced
2025-06-25 19:05:00 | Refinery-1 | Equipment malfunction | Severity=Medium | Action=Equipment replaced
2025-01-06 09:08:00 | Station-02 | Minor fuel spill | Severity=High | Action=Worker counseled
2025-03-07 19:10:00 | Station-02 | Unauthorized access | Severity=Medium | Action=Safety team notified
2025-01-25 15:19:00 | Refinery-1 | Near miss – vehicle collision | Severity=Low | Action=Immediate corrective action
2025-02-09 09:54:00 | Station-02 | Fire extinguisher missing | Severity=Medium | Action=Immediate corrective action
2025-02-15 09:48:00 | Station-05 | First aid administered | Severity=High | Action=Immediate corrective action
2025-07-16 20:32:00 | Depot-A | Fire extinguisher expired | Severity=Low | Action=Worker counseled
2025-04-02 08:22:00 | Depot-A | Slip & fall accident | Severity=High | Action=Equipment replaced
2025-03-06 06:58:00 | HQ | Chemical handling violation | Severity=Low | Action=Immediate corrective action
2025-02-11 10:21:00 | Depot-B | Slip & fall accident | Severity=Medium | Action=Equipment replaced
2025-07-13 17:01:00 | HQ | Equipment malfunction | Severity=Medium | Action=Area cordoned off
2025-01-27 22:49:00 | Station-02 | Unauthorized access | Severity=Low | Action=Safety team notified
2025-06-08 21:49:00 | Refinery-1 | Chemical handling violation | Severity=High | Action=Immediate corrective action
2025-02-28 21:35:00 | Depot-A | First aid administered | Severity=High | Action=Training scheduled
2025-04-05 12:57:00 | Station-01 | Fire extinguisher missing | Severity=Low | Action=Investigation launched
2025-01-01 17:01:00 | Refinery-1 | Equipment malfunction | Severity=Medium | Action=Training scheduled
2025-07-11 06:20:00 | Station-01 | First aid administered | Severity=Low | Action=Safety team notified
2025-06-02 22:35:00 | Depot-B | Fire extinguisher expired | Severity=Medium | Action=Safety team notified
2025-05-07 16:07:00 | HQ | Chemical handling violation | Severity=High | Action=Reported to supervisor
2025-03-23 13:19:00 | HQ | Near miss – vehicle collision | Severity=Medium | Action=Area cordoned off
2025-01-10 09:03:00 | Refinery-1 | Minor fuel spill | Severity=High | Action=Safety team notified
2025-03-08 18:09:00 | Station-05 | Minor fuel spill | Severity=Low | Action=Area cordoned off
2025-05-16 17:04:00 | Station-05 | First aid administered | Severity=Medium | Action=Worker counseled
2025-01-06 06:18:00 | Station-02 | Equipment malfunction | Severity=Low | Action=Immediate corrective action
