Date,Equipment,Hours Run,Temperature (C),Pressure (bar),Vibration (mm/s)
2025-02-01,Pump-C,599,87.4,60.2,3.34
2025-05-18,Generator-Y,873,97.3,66.3,4.94
2025-05-16,Boiler-2,845,69.3,90.9,3.48
2025-01-16,Compressor-2,372,88.9,76.2,4.20
2025-01-27,Compressor-2,909,87.0,31.0,1.95
2025-01-10,Pump-B,932,103.7,67.9,3.76
2025-04-08,Compressor-2,229,76.1,92.4,4.18
2025-06-16,Compressor-1,656,87.0,61.7,1.27
2025-07-22,Pump-B,204,118.5,98.8,3.33
2025-05-08,Pump-A,451,115.2,32.6,4.42
2025-02-23,Pump-C,579,112.0,93.9,3.59
2025-05-23,Compressor-1,221,68.7,23.6,0.67
2025-02-17,Compressor-1,229,113.3,21.3,3.49
2025-04-09,Boiler-1,494,82.8,23.6,0.25
2025-06-11,Valve-3,737,112.1,93.6,3.42
2025-07-03,Generator-Y,174,60.7,26.7,1.55
2025-04-06,Generator-Y,865,65.6,24.9,3.65
2025-05-22,Compressor-2,1000,79.2,39.5,4.72
2025-05-31,Boiler-2,823,62.8,58.6,2.16
2025-07-12,Boiler-2,706,68.3,45.2,2.10
2025-05-31,Generator-X,902,100.6,27.8,0.12
2025-07-07,Pump-A,518,110.1,52.3,0.99
2025-04-05,Compressor-2,387,117.1,67.1,2.24
2025-01-20,Generator-X,70,114.2,23.7,2.22
2025-06-21,Generator-Y,482,76.1,25.9,4.53
2025-04-11,Generator-X,356,112.1,76.7,3.55
2025-02-27,Compressor-2,51,108.5,63.3,0.59
2025-06-07,Valve-3,325,106.3,57.6,2.66
2025-01-04,Generator-X,841,93.7,35.6,2.16
2025-02-21,Compressor-2,617,68.4,62.7,2.88
2025-06-09,Generator-Y,213,83.3,56.7,0.18
2025-03-01,Boiler-2,493,93.5,61.6,3.21
2025-01-31,Boiler-1,591,119.7,72.8,2.48
2025-06-07,Pump-B,422,61.8,84.2,2.20
2025-04-03,Boiler-1,914,64.7,56.4,1.95
2025-06-27,Valve-3,292,67.6,95.5,0.75
2025-06-29,Generator-X,515,111.0,70.5,2.93
2025-02-17,Generator-Y,65,78.2,26.3,4.29
2025-07-14,Valve-3,427,116.1,95.3,3.94
2025-04-03,Generator-X,572,78.9,96.6,2.36
2025-04-27,Compressor-2,773,65.4,79.8,2.49
2025-04-09,Valve-3,239,107.0,27.7,3.40
2025-06-15,Boiler-2,198,76.8,68.7,3.00
2025-02-05,Generator-Y,322,70.6,31.3,4.72
2025-03-27,Boiler-2,651,64.5,24.3,3.56
2025-03-09,Generator-X,322,115.0,28.4,2.81
2025-06-24,Compressor-2,431,89.2,86.8,1.66
2025-07-19,Boiler-2,179,60.2,66.2,0.72
2025-04-04,Boiler-1,900,60.0,66.0,4.70
2025-01-13,Pump-B,697,84.0,94.0,4.50
2025-04-15,Compressor-2,104,87.6,36.9,0.77
2025-05-01,Pump-C,565,69.8,64.8,1.71
2025-07-04,Compressor-2,55,63.5,58.8,3.29
2025-07-29,Boiler-2,237,69.7,40.9,2.32
2025-01-24,Pump-C,479,64.3,95.3,2.76
2025-07-23,Generator-X,56,88.9,24.7,1.82
2025-05-24,Pump-A,143,67.0,49.7,0.11
2025-02-15,Boiler-1,957,108.4,98.5,3.32
2025-03-22,Pump-C,487,64.9,90.4,3.74
2025-02-28,Boiler-1,104,109.2,30.9,0.31
2025-04-29,Pump-B,879,85.8,45.1,0.17
2025-05-04,Compressor-2,977,102.0,99.0,0.52
2025-05-10,Valve-3,854,78.7,76.9,3.53
2025-02-28,Pump-C,866,94.0,57.5,3.01
2025-05-27,Compressor-1,935,111.4,47.6,3.02
2025-03-13,Boiler-1,834,66.9,86.9,0.53
2025-06-09,Boiler-2,997,68.5,57.9,4.04
2025-07-27,Boiler-2,134,72.8,81.6,3.89
2025-01-10,Compressor-2,390,62.7,48.1,2.85
2025-06-06,Generator-Y,277,101.1,25.5,4.47
2025-02-24,Generator-X,498,75.4,81.1,4.14
2025-03-28,Pump-C,480,91.8,52.5,1.44
2025-05-20,Generator-Y,89,104.7,55.8,2.98
2025-02-26,Compressor-2,962,78.0,63.4,1.06
2025-03-19,Pump-C,375,108.0,50.6,4.91
2025-06-11,Compressor-2,465,114.9,63.2,1.72
2025-01-14,Boiler-1,885,86.7,42.1,0.35
2025-04-03,Boiler-1,684,80.1,26.4,4.81
2025-02-10,Compressor-1,628,71.0,86.0,3.01
2025-05-19,Generator-X,973,105.9,28.6,2.52
2025-06-29,Compressor-2,798,61.7,99.2,0.60
2025-03-01,Pump-B,135,119.8,57.0,2.59
2025-04-10,Pump-B,665,119.2,21.5,1.71
2025-03-17,Boiler-1,748,83.3,74.9,0.97
2025-06-12,Pump-A,465,103.0,49.7,1.25
2025-07-29,Compressor-2,765,116.4,74.6,4.99
2025-01-22,Pump-C,236,86.3,45.1,3.99
2025-05-25,Generator-X,942,117.7,20.8,4.31
2025-07-14,Pump-A,130,79.2,47.0,4.33
2025-02-16,Generator-X,867,99.3,74.9,1.37
2025-06-12,Valve-3,397,61.9,42.6,4.78
2025-05-07,Pump-B,833,86.6,35.3,0.73
2025-06-02,Boiler-2,100,115.8,76.7,2.99
2025-04-04,Pump-A,985,73.8,80.1,0.42
2025-01-03,Generator-Y,344,117.4,69.8,4.85
2025-07-17,Pump-A,258,101.4,66.3,0.11
2025-03-31,Pump-C,82,112.7,54.3,2.58
2025-06-28,Compressor-2,115,64.3,44.0,3.11
2025-01-25,Compressor-1,719,80.2,69.2,4.47
2025-05-20,Generator-X,404,105.6,39.5,1.93
2025-05-26,Generator-X,200,62.7,51.0,0.26
2025-04-15,Boiler-1,633,116.4,21.0,0.19
2025-05-27,Generator-Y,985,114.5,63.8,0.46
2025-04-10,Boiler-1,538,75.8,82.3,4.49
2025-05-03,Boiler-2,323,101.7,30.0,4.46
2025-02-25,Compressor-1,633,110.9,44.5,3.52
2025-04-06,Compressor-1,71,60.2,59.3,1.95
2025-02-10,Generator-X,385,60.5,32.9,1.80
2025-01-03,Pump-B,555,72.8,50.4,1.35
2025-04-11,Pump-C,342,66.3,63.0,1.00
2025-01-16,Pump-C,727,116.8,76.2,0.83
2025-07-22,Compressor-1,365,79.9,27.6,0.17
2025-07-21,Pump-A,635,62.4,91.6,2.17
2025-06-23,Pump-A,414,74.7,71.0,4.80
2025-05-23,Generator-Y,572,75.2,21.1,4.44
2025-01-30,Pump-B,443,83.6,37.6,0.77
2025-01-02,Compressor-2,967,100.7,96.6,4.63
2025-04-27,Generator-X,822,112.6,65.0,3.97
2025-05-20,Boiler-1,381,111.4,88.9,0.53
2025-06-01,Valve-3,839,85.4,33.4,0.33
2025-03-03,Generator-Y,737,108.2,34.3,0.14
2025-06-27,Pump-C,518,82.2,61.7,0.48
2025-04-29,Boiler-1,961,61.5,67.7,0.11
2025-04-24,Pump-B,143,108.1,87.3,1.21
2025-07-12,Boiler-2,56,70.9,54.5,4.79
2025-01-26,Valve-3,792,99.6,25.4,4.54
2025-05-15,Pump-B,584,94.4,59.1,0.12
2025-04-04,Valve-3,146,86.0,81.8,2.57
2025-02-24,Boiler-2,430,79.9,64.0,3.68
2025-03-22,Valve-3,817,87.8,97.8,0.92
2025-06-26,Pump-B,440,93.4,23.6,0.35
2025-07-17,Generator-X,989,74.2,62.8,4.06
2025-06-04,Compressor-1,118,92.8,50.0,4.72
2025-05-11,Valve-3,541,114.0,84.3,1.45
2025-03-21,Pump-A,723,65.8,61.1,0.92
2025-07-13,Boiler-1,216,60.1,34.2,1.15
2025-03-17,Boiler-2,180,97.5,87.1,1.22
2025-06-19,Pump-C,110,75.1,42.2,2.49
2025-03-13,Compressor-1,798,67.9,79.9,2.67
2025-01-29,Pump-B,481,118.4,96.5,2.93
2025-07-01,Compressor-1,767,60.6,30.1,3.17
2025-01-04,Pump-C,86,98.0,98.3,1.46
2025-07-02,Pump-C,274,111.1,30.4,2.25
2025-04-02,Pump-C,762,112.5,39.5,3.62
2025-01-11,Pump-C,565,65.6,46.8,0.33
2025-03-06,Generator-Y,251,60.2,98.7,0.38
2025-07-03,Valve-3,286,116.1,55.2,2.35
2025-04-12,Valve-3,148,96.7,37.9,3.86
2025-06-25,Pump-A,717,69.7,67.9,2.14
2025-07-28,Pump-B,530,77.9,89.2,0.30
2025-02-10,Valve-3,817,117.3,37.5,4.73
2025-01-08,Compressor-2,303,110.5,79.3,4.12
2025-01-18,Valve-3,446,83.5,32.1,0.50
2025-02-21,Pump-B,479,89.2,60.1,1.90
2025-05-23,Generator-X,911,85.1,97.6,2.03
2025-07-12,Pump-A,442,74.0,51.5,0.85
2025-05-27,Boiler-2,873,83.6,48.9,1.59
2025-03-15,Compressor-2,357,99.4,55.3,2.21
2025-02-20,Compressor-2,669,106.2,77.4,2.88
2025-03-30,Pump-A,359,98.8,50.2,2.32
2025-02-03,Pump-C,444,68.1,90.6,0.68
2025-03-17,Pump-C,311,73.0,52.9,0.77
2025-07-09,Generator-X,720,93.3,45.6,3.40
2025-01-26,Boiler-2,920,90.8,90.9,0.29
2025-07-08,Boiler-1,658,117.0,69.4,3.73
2025-04-15,Pump-C,704,74.4,44.9,4.12
2025-01-22,Valve-3,634,101.0,41.1,1.08
2025-03-28,Compressor-1,958,68.0,97.3,4.95
2025-04-28,Pump-C,960,81.9,24.6,2.70
2025-02-27,Compressor-1,316,117.0,95.9,0.27
2025-06-26,Compressor-1,129,64.7,86.8,4.26
2025-05-16,Boiler-1,465,61.7,98.4,1.41
2025-04-30,Generator-Y,988,101.4,74.0,2.55
2025-07-23,Boiler-1,461,95.2,91.6,4.01
2025-03-10,Generator-X,254,81.6,39.2,1.92
2025-05-01,Compressor-2,452,83.2,78.3,3.91
2025-04-08,Pump-B,491,72.5,42.4,0.49
2025-03-29,Compressor-2,428,61.3,75.8,0.14
2025-03-27,Valve-3,989,116.4,60.6,4.09
2025-02-17,Generator-Y,660,68.6,82.9,1.92
2025-04-08,Generator-Y,359,110.7,34.5,4.28
2025-03-03,Pump-A,514,112.2,42.1,1.27
2025-07-18,Valve-3,171,75.9,50.8,4.67
2025-03-15,Pump-A,733,117.2,72.1,2.96
2025-03-05,Pump-C,475,109.0,44.1,1.65
2025-03-21,Compressor-1,785,108.6,56.2,2.12
2025-06-18,Boiler-1,281,66.3,92.6,4.53
2025-01-08,Boiler-2,711,101.2,29.8,4.71
2025-07-30,Generator-X,991,70.0,94.6,0.49
2025-07-06,Boiler-2,507,65.5,94.6,1.48
2025-02-10,Compressor-1,421,108.9,72.6,3.72
2025-02-15,Generator-Y,960,114.4,83.8,1.37
2025-06-24,Boiler-1,99,66.7,35.5,4.83
2025-06-15,Pump-A,758,91.7,83.7,4.39
2025-07-30,Pump-C,277,114.3,57.0,0.75
2025-04-21,Generator-Y,748,79.4,35.1,2.39
2025-01-29,Compressor-2,982,63.7,86.2,4.63
2025-06-11,Generator-X,884,69.2,55.1,2.73
2025-01-07,Generator-X,383,98.9,72.7,0.32
2025-01-07,Pump-C,545,111.4,34.3,0.73
2025-03-21,Pump-C,377,87.8,87.7,1.05
2025-04-19,Pump-A,668,78.1,97.4,3.49
2025-02-01,Compressor-1,831,83.9,84.5,3.50
2025-05-07,Pump-C,980,62.1,29.7,1.95
2025-03-30,Generator-X,776,69.3,82.0,0.96
2025-07-04,Pump-A,665,98.7,66.0,3.19
2025-05-05,Compressor-1,402,67.7,49.9,3.12
2025-06-18,Compressor-1,981,74.1,33.5,3.24
2025-07-17,Boiler-1,282,102.0,35.2,2.66
2025-06-05,Pump-C,51,77.2,88.2,3.49
2025-07-20,Compressor-1,850,81.2,30.3,2.17
2025-01-23,Boiler-2,408,118.3,57.6,0.55
2025-01-13,Boiler-2,520,62.7,35.0,3.07
2025-07-21,Pump-B,832,90.3,32.7,4.28
2025-04-08,Pump-A,151,60.8,30.0,2.04
2025-04-01,Boiler-2,277,113.6,64.7,2.85
2025-02-16,Pump-B,929,89.6,83.5,3.19
2025-07-01,Compressor-2,596,111.6,82.3,2.44
2025-03-25,Boiler-1,821,75.8,31.6,4.90
2025-02-25,Pump-C,195,117.1,93.6,2.59
2025-06-12,Pump-B,822,96.4,40.3,0.85
2025-05-24,Valve-3,207,103.0,73.2,3.46
2025-02-17,Pump-C,801,117.5,52.4,1.95
2025-07-30,Valve-3,395,72.7,72.5,4.51
2025-03-04,Boiler-1,935,107.9,25.3,3.27
2025-05-17,Pump-A,328,83.8,83.4,1.45
2025-03-02,Pump-A,547,100.1,38.3,2.84
2025-03-20,Pump-B,718,93.7,31.9,4.45
2025-01-19,Compressor-1,843,83.1,52.1,0.38
2025-07-20,Compressor-2,729,84.0,65.7,3.63
2025-06-18,Generator-X,445,63.8,78.4,3.97
2025-01-12,Generator-X,376,75.1,25.8,0.95
2025-06-10,Pump-B,427,65.2,98.2,1.41
2025-01-20,Valve-3,834,115.1,47.4,2.20
2025-01-05,Valve-3,736,65.5,77.7,3.00
2025-02-24,Valve-3,378,87.1,59.7,4.04
2025-01-16,Boiler-1,872,60.0,31.0,1.34
2025-04-22,Pump-C,732,60.9,69.8,3.29
2025-01-25,Pump-C,796,99.7,32.0,0.46
2025-02-21,Valve-3,299,105.1,54.4,4.74
2025-04-14,Boiler-1,594,94.0,56.3,0.28
2025-05-14,Boiler-1,270,64.5,54.1,4.48
2025-03-01,Pump-B,867,96.1,81.6,0.75
2025-06-16,Generator-Y,741,105.9,56.8,1.76
2025-05-28,Boiler-2,597,97.3,71.9,2.16
2025-03-02,Compressor-1,696,101.1,92.0,3.52
2025-03-21,Compressor-1,168,96.2,70.4,1.97
2025-03-21,Compressor-1,81,117.2,73.8,3.95
2025-06-13,Generator-X,236,74.0,31.6,0.88
2025-05-31,Pump-B,410,110.5,82.0,2.48
2025-04-07,Compressor-2,339,93.8,56.5,4.62
2025-05-03,Pump-A,778,63.0,31.2,4.84
2025-04-29,Generator-Y,363,78.6,73.2,2.23
2025-04-13,Compressor-2,636,86.9,56.0,1.62
2025-01-23,Generator-Y,885,72.1,91.2,2.19
2025-01-09,Compressor-2,928,79.8,21.8,1.30
2025-03-22,Compressor-1,531,72.0,67.1,1.99
2025-03-11,Valve-3,486,97.0,97.0,2.26
2025-01-29,Valve-3,715,81.5,65.5,1.96
2025-03-24,Compressor-1,100,101.7,67.5,3.62
2025-02-15,Generator-X,408,66.6,62.3,2.37
2025-06-22,Compressor-1,486,78.0,99.0,4.28
2025-06-07,Compressor-2,988,91.5,88.0,4.22
2025-07-15,Generator-X,676,83.6,93.8,2.13
2025-04-22,Compressor-1,355,118.3,80.3,4.39
2025-03-16,Compressor-1,364,102.5,82.8,3.98
2025-03-20,Valve-3,174,83.7,94.2,2.99
2025-07-12,Valve-3,298,110.0,95.6,1.37
2025-05-29,Boiler-1,341,73.6,90.5,4.40
2025-03-09,Pump-A,588,105.5,86.9,3.53
2025-02-13,Pump-C,279,62.9,46.3,2.16
2025-06-04,Boiler-1,790,116.1,99.1,3.38
2025-05-17,Boiler-2,646,111.5,41.6,1.32
2025-01-27,Pump-A,965,105.6,55.6,0.40
2025-02-14,Pump-B,931,88.7,23.5,1.70
2025-05-13,Generator-X,247,77.2,76.8,2.12
2025-03-28,Boiler-1,869,95.1,88.7,0.72
2025-03-04,Pump-A,93,78.1,65.3,4.26
2025-04-08,Pump-B,201,103.4,37.9,0.37
2025-01-08,Pump-C,968,104.2,48.5,0.77
2025-01-30,Compressor-1,801,111.8,46.7,2.03
2025-04-02,Boiler-2,773,95.7,35.2,2.95
2025-06-10,Boiler-1,52,93.3,54.4,4.05
2025-05-27,Valve-3,273,116.7,40.9,1.87
2025-03-18,Compressor-1,315,101.7,51.7,1.18
2025-01-19,Compressor-1,605,93.0,23.8,1.10
2025-02-16,Compressor-1,898,84.4,94.6,3.73
2025-01-09,Compressor-1,249,78.6,43.4,1.40
2025-02-23,Pump-B,69,78.1,73.1,3.60
2025-04-17,Boiler-2,809,101.6,84.1,2.04
2025-07-30,Boiler-2,901,61.7,64.2,4.52
2025-06-16,Generator-X,777,102.5,31.3,4.32
2025-04-08,Valve-3,101,69.2,84.4,0.54
2025-06-19,Boiler-1,498,113.4,25.2,1.39
2025-01-10,Compressor-2,262,110.5,24.7,1.22
2025-07-23,Generator-X,98,69.8,85.2,3.09
2025-03-13,Generator-Y,450,80.3,55.9,1.75
2025-07-12,Pump-C,253,72.1,61.6,0.85
2025-07-23,Compressor-1,59,68.2,30.8,2.07
2025-01-28,Compressor-1,259,112.7,38.4,1.18
2025-03-06,Generator-Y,529,86.5,78.7,0.70
2025-04-20,Boiler-1,423,116.0,20.9,4.29
2025-02-06,Boiler-1,674,96.6,80.1,1.64
2025-07-11,Pump-A,227,76.7,49.6,0.37
2025-02-14,Compressor-1,802,94.9,81.6,4.10
2025-02-13,Compressor-1,79,73.0,77.3,4.76
2025-02-03,Pump-A,180,92.4,56.7,4.74
2025-07-24,Valve-3,878,104.5,100.0,3.88
2025-01-24,Boiler-1,784,69.8,33.1,4.01
2025-03-16,Pump-A,952,82.4,55.1,4.41
2025-04-16,Compressor-2,726,113.0,57.0,3.90
2025-01-27,Boiler-1,707,98.2,59.6,4.14
2025-04-16,Pump-B,687,107.2,68.1,4.33
2025-03-09,Pump-A,445,81.6,63.3,2.73
2025-04-23,Pump-C,857,100.7,70.3,1.76
2025-01-17,Pump-C,209,79.0,23.2,4.78
2025-07-20,Generator-X,444,83.7,62.7,3.59
2025-05-10,Pump-C,303,89.1,70.2,2.31
2025-07-16,Pump-B,863,71.2,30.4,0.52
2025-01-13,Pump-B,593,87.5,61.1,1.25
2025-03-30,Boiler-2,475,108.4,79.4,0.34
2025-01-19,Boiler-1,925,63.0,86.0,1.53
2025-01-10,Compressor-1,662,69.1,28.3,4.86
2025-06-08,Compressor-2,761,81.3,67.9,3.70
2025-07-15,Pump-B,555,66.1,34.0,4.54
2025-04-10,Compressor-2,305,73.2,56.4,0.90
2025-04-03,Compressor-2,203,68.7,50.1,1.95
2025-03-24,Compressor-2,655,112.7,50.6,4.79
2025-02-19,Pump-A,758,92.4,35.6,4.88
2025-03-17,Compressor-2,503,112.6,86.7,1.59
2025-05-13,Boiler-1,570,96.0,93.8,0.16
2025-04-29,Pump-A,873,70.0,88.8,3.11
2025-04-07,Boiler-2,750,81.0,69.0,4.39
2025-02-18,Boiler-1,558,75.4,76.2,0.99
2025-04-20,Compressor-1,213,116.9,67.8,1.65
2025-03-01,Compressor-2,239,87.1,59.8,1.66
2025-02-13,Pump-C,983,81.5,32.3,2.15
2025-04-13,Generator-X,605,65.0,84.8,0.76
2025-06-17,Generator-X,636,103.5,32.6,3.00
2025-01-30,Pump-B,380,115.4,96.4,3.87
2025-02-25,Pump-A,205,95.5,45.3,3.36
2025-05-29,Generator-Y,288,86.2,57.1,3.63
2025-02-09,Generator-Y,226,109.6,77.8,3.35
2025-02-16,Pump-A,491,82.6,46.8,1.37
2025-05-12,Pump-A,711,100.1,47.2,1.05
2025-07-05,Pump-B,278,99.3,80.8,0.30
2025-03-11,Valve-3,597,111.1,38.0,4.29
2025-01-17,Pump-B,231,111.0,27.5,4.16
2025-07-20,Pump-B,431,105.0,60.9,4.57
2025-01-29,Generator-X,601,69.2,54.8,2.14
